t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
1.720000000000000000e+02	9.506016433685563243e+02	6.894920634463863607e+00	1.601995283666243708e+01	2.966537918554593602e+02	5.066463520461453527e+02	5.047001309908906386e+00	2.228165663100978122e+01	4.379272179984807849e+02	5.344504901194206070e+01	1.998263134713633427e-01	1.398784194299543149e+00	0.000000000000000000e+00	1.998263134713633704e-01	0.000000000000000000e+00	1.315042848240441572e+03	0.000000000000000000e+00
1.730000000000000000e+02	9.585939319591424237e+02	6.894920634463861830e+00	1.920431085864722220e+01	2.950015271853125114e+02	5.085784091601695991e+02	5.165994579942956300e+00	2.086314533653382952e+01	4.407911270753227768e+02	4.395450220271968078e+01	1.998263134713633704e-01	1.255543264443280016e+00	0.000000000000000000e+00	1.998263134713633982e-01	0.000000000000000000e+00	1.321885064316821854e+03	0.000000000000000000e+00
1.740000000000000000e+02	9.599720011831363990e+02	7.354137157636736255e+00	1.748729697682164641e+01	2.975082165065174991e+02	5.201141150827703541e+02	5.501893613414687856e+00	2.160049992991417511e+01	4.399867343328533593e+02	3.958217103556712146e+01	2.763853991962832435e-01	1.351439561685571222e+00	1.998263134713633427e-01	0.000000000000000000e+00	1.998263134713633704e-01	1.328771685696355235e+03	0.000000000000000000e+00
1.750000000000000000e+02	9.563548117940677002e+02	8.402628556985407116e+00	1.645822784776322223e+01	3.014752586817402857e+02	5.303417071934742353e+02	6.958083827862060033e+00	1.921113500898198723e+01	4.372773540614697936e+02	3.962986300337999523e+01	3.307189138830738395e-01	1.092111868506763006e+00	0.000000000000000000e+00	1.998263134713633704e-01	0.000000000000000000e+00	1.328171502453864377e+03	0.000000000000000000e+00
1.760000000000000000e+02	9.511332413013086580e+02	5.873522272783929132e+00	1.725764725821248291e+01	2.973751722245075939e+02	5.321247748805412812e+02	6.689414315834301128e+00	1.906344487640037144e+01	4.417393159589588549e+02	4.175422051189023875e+01	0.000000000000000000e+00	1.178511301977579029e+00	1.998263134713633427e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.291389142228889341e+03	0.000000000000000000e+00
1.770000000000000000e+02	9.578475725407577102e+02	6.491447364716814938e+00	1.706604816587601192e+01	3.006497131214330807e+02	5.459259320309752184e+02	6.200218410131479452e+00	1.982352698745160779e+01	4.384000503725640101e+02	4.555809401802885361e+01	0.000000000000000000e+00	1.624465724134827482e+00	1.998263134713633704e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.299436143075355403e+03	0.000000000000000000e+00
1.780000000000000000e+02	9.500988398874906125e+02	7.463685230649951485e+00	1.659568216936763108e+01	3.005913500455763483e+02	5.536144617170167521e+02	5.935855035291883297e+00	1.851350858157361756e+01	4.415015729177970911e+02	4.370346731731425649e+01	2.763853991962832990e-01	1.240939384319619254e+00	1.998263134713633704e-01	2.763853991962832990e-01	2.763853991962832990e-01	1.292413472280962196e+03	0.000000000000000000e+00
1.790000000000000000e+02	9.520722537648542811e+02	6.447975565159105749e+00	1.504068556357130504e+01	3.008395169032079934e+02	5.539165036858494204e+02	6.699917080747259668e+00	1.831590080291499945e+01	4.447158249158169383e+02	4.525207177577618722e+01	1.998263134713633982e-01	1.630865482565077240e+00	0.000000000000000000e+00	1.998263134713633982e-01	0.000000000000000000e+00	1.334704304929455930e+03	0.000000000000000000e+00
1.800000000000000000e+02	9.518262125455933074e+02	6.467869303977418660e+00	1.480422002523454594e+01	3.021435916911030404e+02	5.631500626436576340e+02	7.180219742846005282e+00	1.826122181624828400e+01	4.433534906914947555e+02	4.632716910434115221e+01	2.763853991962832435e-01	1.080123449734643470e+00	2.763853991962832990e-01	1.998263134713633704e-01	0.000000000000000000e+00	1.353123269180314537e+03	0.000000000000000000e+00
1.810000000000000000e+02	9.294828871474719563e+02	7.129628126502969288e+00	1.508304557736562757e+01	3.027428662339635252e+02	5.500951369737985033e+02	6.222718234198156395e+00	1.728920665232117315e+01	4.454990335442815308e+02	3.975200903378622996e+01	0.000000000000000000e+00	1.632993161855452069e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.367004688253969789e+03	0.000000000000000000e+00
1.820000000000000000e+02	9.235644030587268389e+02	6.663410663216447816e+00	1.541441424987231379e+01	3.014732546410857026e+02	5.462466104013826680e+02	7.370643722829702149e+00	1.663324774527078276e+01	4.492497430129729423e+02	3.822409707530346168e+01	0.000000000000000000e+00	1.337882863166860448e+00	2.763853991962832990e-01	1.998263134713633427e-01	0.000000000000000000e+00	1.362791130338965559e+03	0.000000000000000000e+00
1.830000000000000000e+02	9.237996115079406536e+02	6.735967925167762438e+00	1.617734827535780795e+01	3.047032595639385022e+02	5.473694653497052514e+02	7.370643722829701261e+00	1.693102838643365260e+01	4.474027807958829612e+02	3.172045869781835137e+01	0.000000000000000000e+00	1.306367950549240264e+00	4.389855730355308183e-01	0.000000000000000000e+00	1.998263134713633149e-01	1.369528162868105937e+03	0.000000000000000000e+00
