t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
2.080000000000000000e+02	5.166158333333333576e+04	8.933333333333332860e+01	1.576250000000000000e+02	4.705958333333333030e+03	3.923791666666666424e+04	2.020833333333333215e+01	3.041250000000000000e+02	3.823250000000000000e+03	1.914375000000000000e+03	1.533333333333333393e+01	6.700000000000000000e+01	4.079166666666666430e+01	1.275000000000000000e+01	5.079166666666666430e+01	5.420433333333333576e+04	3.544958333333333485e+03
2.090000000000000000e+02	5.165016666666666424e+04	8.620833333333332860e+01	1.572083333333333428e+02	4.731041666666666970e+03	3.921633333333333576e+04	2.120833333333333215e+01	3.023750000000000000e+02	3.835458333333333485e+03	1.916458333333333258e+03	1.295833333333333393e+01	6.520833333333332860e+01	4.025000000000000000e+01	1.395833333333333393e+01	5.362500000000000000e+01	5.445637500000000000e+04	3.541166666666666515e+03
2.100000000000000000e+02	5.165941666666666424e+04	8.875000000000000000e+01	1.555000000000000000e+02	4.756083333333333030e+03	3.916887500000000000e+04	2.170833333333333215e+01	3.007500000000000000e+02	3.848916666666666515e+03	1.918500000000000000e+03	1.304166666666666607e+01	6.695833333333332860e+01	3.979166666666666430e+01	1.300000000000000000e+01	5.525000000000000000e+01	5.470079166666666424e+04	3.540083333333333485e+03
2.110000000000000000e+02	5.167637500000000000e+04	8.745833333333332860e+01	1.554166666666666572e+02	4.773416666666666970e+03	3.911725000000000000e+04	2.125000000000000000e+01	3.007083333333333144e+02	3.868125000000000000e+03	1.913666666666666742e+03	1.404166666666666607e+01	6.612500000000000000e+01	3.904166666666666430e+01	1.387500000000000000e+01	5.312500000000000000e+01	5.495191666666666424e+04	3.547708333333333485e+03
2.120000000000000000e+02	5.168716666666666424e+04	8.650000000000000000e+01	1.592916666666666572e+02	4.799875000000000000e+03	3.906987500000000000e+04	2.095833333333333215e+01	2.990416666666666856e+02	3.877291666666666515e+03	1.915375000000000000e+03	1.512500000000000000e+01	6.658333333333332860e+01	3.962500000000000000e+01	1.295833333333333393e+01	5.187500000000000000e+01	5.519483333333333576e+04	3.546083333333333485e+03
2.130000000000000000e+02	5.166625000000000000e+04	8.554166666666667140e+01	1.574583333333333428e+02	4.831208333333333030e+03	3.905608333333333576e+04	1.987500000000000000e+01	2.998333333333333144e+02	3.883750000000000000e+03	1.918250000000000000e+03	1.283333333333333393e+01	6.537500000000000000e+01	3.850000000000000000e+01	1.333333333333333393e+01	5.475000000000000000e+01	5.544033333333333576e+04	3.548041666666666515e+03
2.140000000000000000e+02	5.164195833333333576e+04	8.787500000000000000e+01	1.585000000000000000e+02	4.853625000000000000e+03	3.904233333333333576e+04	1.962500000000000000e+01	2.975833333333333144e+02	3.898500000000000000e+03	1.915458333333333258e+03	1.358333333333333393e+01	6.783333333333332860e+01	4.100000000000000000e+01	1.362500000000000000e+01	5.487500000000000000e+01	5.568650000000000000e+04	3.544000000000000000e+03
2.150000000000000000e+02	5.158862500000000000e+04	8.612500000000000000e+01	1.583750000000000000e+02	4.866458333333333030e+03	3.906083333333333576e+04	2.012500000000000000e+01	2.990000000000000000e+02	3.920458333333333485e+03	1.913791666666666742e+03	1.437500000000000000e+01	6.562500000000000000e+01	4.220833333333333570e+01	1.387500000000000000e+01	5.404166666666666430e+01	5.593595833333333576e+04	3.546000000000000000e+03
2.160000000000000000e+02	5.155250000000000000e+04	8.662500000000000000e+01	1.578750000000000000e+02	4.887791666666666970e+03	3.905929166666666424e+04	2.037500000000000000e+01	2.986250000000000000e+02	3.936916666666666515e+03	1.914166666666666742e+03	1.358333333333333393e+01	6.666666666666667140e+01	4.058333333333333570e+01	1.370833333333333393e+01	5.316666666666666430e+01	5.618433333333333576e+04	3.545625000000000000e+03
2.170000000000000000e+02	5.152737500000000000e+04	8.925000000000000000e+01	1.588333333333333428e+02	4.910458333333333030e+03	3.904658333333333576e+04	2.045833333333333215e+01	2.964583333333333144e+02	3.950583333333333485e+03	1.916333333333333258e+03	1.370833333333333393e+01	6.804166666666667140e+01	4.216666666666666430e+01	1.300000000000000000e+01	5.595833333333333570e+01	5.642679166666666424e+04	3.549791666666666515e+03
